,r.t.,warm,solvothermal
13,"[246.0, 287.0, 288.0, 289.0, 306.0, 307.0, 424.0, 454.0, 482.0]","[246.0, 288.0, 289.0, 306.0, 307.0, 423.0, 424.0, 454.0, 482.0]","[255.0, 256.0, 313.0, 354.0, 355.0, 371.0, 563.0, 568.0, 569.0, 570.0, 662.0]"
14,"[289.0, 306.0, 758.0]","[289.0, 306.0, 758.0, 933.0]","[255.0, 256.0, 313.0, 354.0, 369.0, 468.0, 470.0, 486.0, 500.0, 505.0, 569.0, 669.0, 733.0, 734.0]"
15,[758.0],"[289.0, 758.0]","[255.0, 256.0, 313.0, 354.0, 371.0, 509.0, 541.0, 569.0, 570.0]"
16,"[252.0, 261.0, 268.0, 282.0, 362.0, 453.0]","[261.0, 268.0, 282.0, 289.0, 453.0]","[255.0, 256.0, 313.0, 324.0, 354.0, 355.0, 371.0, 509.0, 569.0, 570.0]"
17,"[246.0, 288.0, 289.0, 306.0, 307.0, 454.0, 482.0]","[246.0, 288.0, 289.0, 306.0, 307.0, 454.0, 482.0]","[255.0, 256.0, 313.0, 354.0, 355.0, 371.0, 509.0, 563.0, 568.0, 569.0, 570.0, 662.0]"
18,"[282.0, 453.0, 758.0]","[282.0, 758.0]","[255.0, 256.0, 313.0, 343.0, 354.0, 371.0, 373.0, 468.0, 486.0, 500.0, 569.0, 570.0, 733.0]"
19,"[252.0, 259.0, 261.0, 268.0, 795.0, 854.0, 933.0]","[252.0, 259.0, 261.0, 268.0, 854.0, 933.0]","[255.0, 256.0, 313.0, 354.0, 355.0, 371.0, 509.0, 541.0, 569.0, 570.0]"
20,"[282.0, 306.0, 758.0]","[306.0, 758.0]","[255.0, 256.0, 313.0, 343.0, 354.0, 355.0, 369.0, 371.0, 373.0, 468.0, 470.0, 486.0, 500.0, 558.0, 569.0, 570.0, 731.0, 733.0]"
21,"[814.0, 832.0, 851.0, 911.0]","[675.0, 814.0, 832.0, 851.0, 911.0]","[255.0, 256.0, 313.0, 342.0, 354.0, 355.0, 569.0]"
22,"[246.0, 287.0, 288.0, 289.0, 290.0, 306.0, 307.0, 366.0, 424.0, 440.0, 758.0]","[246.0, 274.0, 287.0, 288.0, 289.0, 290.0, 306.0, 307.0, 366.0, 423.0, 440.0, 454.0, 482.0]","[255.0, 256.0, 313.0, 354.0, 355.0, 569.0, 662.0, 970.0, 971.0]"
23,"[362.0, 371.0, 378.0, 758.0, 933.0, 934.0, 974.0, 1012.0]","[282.0, 362.0, 545.0, 933.0, 934.0, 974.0]","[255.0, 256.0, 313.0, 343.0, 354.0, 355.0, 371.0, 468.0, 500.0, 509.0, 569.0, 570.0]"
24,"[282.0, 306.0, 362.0, 371.0, 453.0, 933.0]","[282.0, 306.0, 362.0, 933.0]","[255.0, 256.0, 313.0, 343.0, 354.0, 355.0, 371.0, 468.0, 500.0, 569.0, 570.0, 662.0, 733.0]"
25,"[453.0, 854.0, 933.0]","[282.0, 453.0, 854.0, 933.0]","[255.0, 256.0, 313.0, 343.0, 354.0, 371.0, 468.0, 500.0, 569.0, 570.0]"
26,"[282.0, 362.0, 453.0, 545.0, 933.0, 934.0, 974.0, 1007.0]","[282.0, 362.0, 453.0, 545.0, 933.0, 934.0, 974.0]","[255.0, 256.0, 313.0, 343.0, 354.0, 371.0, 468.0, 500.0, 569.0, 570.0]"
27,"[362.0, 758.0, 933.0, 1007.0]","[362.0, 758.0, 933.0]","[255.0, 256.0, 313.0, 354.0, 369.0, 371.0, 468.0, 486.0, 500.0, 558.0, 569.0, 570.0, 731.0, 733.0, 734.0]"
28,"[282.0, 453.0, 933.0]","[282.0, 453.0, 933.0]","[255.0, 256.0, 313.0, 354.0, 371.0, 569.0, 570.0]"
29,"[246.0, 287.0, 288.0, 289.0, 306.0, 307.0, 440.0, 454.0, 482.0]","[246.0, 288.0, 289.0, 306.0, 307.0, 423.0, 440.0, 454.0, 482.0]","[255.0, 256.0, 313.0, 354.0, 355.0, 371.0, 468.0, 500.0, 563.0, 568.0, 569.0, 570.0, 662.0]"
30,"[362.0, 371.0, 758.0, 933.0]","[268.0, 758.0, 933.0]","[255.0, 256.0, 313.0, 354.0, 371.0, 468.0, 500.0, 509.0, 569.0, 570.0]"
31,"[282.0, 289.0, 306.0, 312.0, 322.0, 352.0, 453.0, 597.0, 755.0]","[282.0, 289.0, 312.0, 453.0, 597.0]","[255.0, 256.0, 313.0, 324.0, 343.0, 354.0, 355.0, 371.0, 468.0, 500.0, 569.0, 570.0]"
32,"[362.0, 371.0, 545.0, 758.0, 933.0]","[362.0, 545.0, 933.0, 934.0, 974.0]","[255.0, 256.0, 313.0, 343.0, 354.0, 371.0, 468.0, 500.0, 569.0, 570.0]"
33,"[282.0, 362.0, 371.0, 453.0, 933.0]","[282.0, 362.0, 453.0, 933.0]","[255.0, 256.0, 313.0, 343.0, 354.0, 371.0, 468.0, 500.0, 569.0, 570.0]"
34,"[691.0, 713.0, 792.0, 814.0, 832.0, 851.0, 854.0, 911.0]","[453.0, 814.0, 832.0, 851.0, 854.0, 911.0, 933.0]","[255.0, 256.0, 313.0, 354.0, 369.0, 371.0, 468.0, 486.0, 500.0, 569.0, 733.0]"
35,"[246.0, 282.0, 287.0, 288.0, 289.0, 290.0, 306.0, 307.0, 424.0, 440.0, 454.0, 482.0, 933.0]","[246.0, 288.0, 289.0, 306.0, 307.0, 424.0, 440.0, 454.0, 482.0, 933.0]","[255.0, 256.0, 313.0, 343.0, 354.0, 355.0, 468.0, 500.0, 563.0, 568.0, 569.0, 570.0, 662.0]"
36,"[282.0, 289.0, 453.0, 597.0, 755.0, 758.0]","[282.0, 289.0, 453.0, 484.0, 563.0, 653.0, 755.0]","[255.0, 256.0, 313.0, 324.0, 343.0, 354.0, 371.0, 468.0, 500.0, 569.0, 570.0]"
37,"[362.0, 371.0, 378.0, 758.0, 854.0, 933.0, 934.0, 974.0, 1012.0]","[362.0, 371.0, 378.0, 758.0, 854.0, 933.0, 934.0, 974.0, 1012.0]","[255.0, 256.0, 313.0, 343.0, 354.0, 355.0, 371.0, 373.0, 468.0, 500.0, 569.0, 570.0]"
38,"[282.0, 289.0, 453.0, 597.0, 755.0]","[282.0, 289.0, 453.0, 597.0, 755.0]","[255.0, 256.0, 313.0, 343.0, 354.0, 371.0, 373.0, 468.0, 486.0, 500.0, 569.0, 570.0, 733.0]"
39,"[289.0, 306.0, 307.0, 454.0, 482.0, 758.0, 933.0]","[289.0, 306.0, 307.0, 454.0, 482.0, 758.0, 933.0]","[255.0, 256.0, 313.0, 354.0, 369.0, 468.0, 470.0, 486.0, 500.0, 558.0, 569.0, 570.0, 662.0, 731.0, 733.0, 734.0]"
40,"[282.0, 634.0, 713.0, 795.0, 854.0]","[282.0, 634.0, 713.0, 795.0, 837.0, 854.0]","[255.0, 256.0, 313.0, 354.0, 371.0, 569.0, 570.0]"
41,"[282.0, 362.0, 371.0, 545.0, 933.0, 934.0, 974.0]","[282.0, 362.0, 371.0, 453.0, 545.0, 933.0, 934.0, 974.0]","[255.0, 256.0, 313.0, 343.0, 354.0, 355.0, 371.0, 468.0, 500.0, 569.0, 570.0]"
42,"[758.0, 933.0, 1007.0]","[545.0, 758.0, 933.0, 934.0, 974.0]","[255.0, 256.0, 313.0, 343.0, 354.0, 371.0, 468.0, 486.0, 500.0, 569.0, 570.0]"
43,"[246.0, 282.0, 287.0, 288.0, 289.0, 306.0, 307.0, 364.0, 424.0, 440.0, 454.0, 482.0, 933.0]","[246.0, 282.0, 287.0, 288.0, 289.0, 306.0, 307.0, 364.0, 423.0, 424.0, 440.0, 454.0, 482.0, 933.0]","[255.0, 256.0, 313.0, 354.0, 355.0, 398.0, 468.0, 500.0, 509.0, 563.0, 568.0, 569.0, 570.0, 662.0]"
44,"[282.0, 289.0, 306.0, 324.0, 453.0, 597.0, 755.0]","[282.0, 289.0, 289.0, 306.0, 324.0, 453.0, 755.0]","[255.0, 256.0, 313.0, 343.0, 354.0, 355.0, 371.0, 468.0, 500.0, 563.0, 568.0, 569.0, 570.0, 662.0]"
45,"[758.0, 933.0]","[443.0, 758.0, 788.0, 933.0]","[255.0, 256.0, 313.0, 354.0, 369.0, 371.0, 468.0, 486.0, 500.0, 544.0, 558.0, 569.0, 570.0, 731.0, 733.0]"
46,"[282.0, 362.0, 371.0, 758.0, 933.0]","[282.0, 362.0, 371.0, 758.0, 933.0]","[255.0, 256.0, 313.0, 354.0, 355.0, 371.0, 373.0, 468.0, 500.0, 569.0, 570.0]"
47,"[675.0, 758.0, 814.0, 933.0]","[675.0, 758.0, 814.0, 933.0, 974.0]","[255.0, 256.0, 313.0, 343.0, 354.0, 371.0, 468.0, 500.0, 569.0, 570.0]"
48,[],"[265.0, 267.0, 367.0, 571.0, 575.0, 585.0, 589.0, 691.0, 713.0, 732.0, 795.0, 834.0, 872.0]","[245.0, 255.0, 256.0, 286.0, 287.0, 289.0, 306.0, 313.0, 327.0, 328.0, 340.0, 354.0, 355.0, 355.0, 359.0, 539.0, 568.0, 569.0, 662.0]"
49,"[524.0, 545.0, 566.0, 597.0, 645.0, 658.0, 776.0, 792.0, 854.0]","[282.0, 453.0, 634.0, 662.0, 713.0, 755.0, 792.0, 795.0, 834.0, 854.0, 872.0]","[255.0, 256.0, 306.0, 313.0, 354.0, 355.0, 371.0, 373.0, 569.0, 570.0]"
50,"[288.0, 306.0, 307.0, 776.0, 792.0, 854.0]","[265.0, 267.0, 302.0, 324.0, 565.0, 569.0, 579.0, 658.0]","[255.0, 256.0, 313.0, 354.0, 355.0, 479.0, 662.0, 970.0]"
51,"[302.0, 306.0, 324.0, 326.0, 933.0]","[265.0, 267.0, 302.0, 324.0, 565.0, 569.0, 579.0, 658.0]","[255.0, 272.0, 286.0, 313.0, 314.0, 327.0, 328.0, 340.0, 354.0, 355.0, 359.0, 369.0, 373.0]"
52,[],[],"[255.0, 256.0, 272.0, 286.0, 313.0, 314.0, 327.0, 340.0, 341.0, 354.0, 355.0, 369.0, 693.0]"
53,"[246.0, 265.0, 288.0, 289.0, 306.0, 307.0, 366.0]","[246.0, 247.0, 288.0, 289.0, 290.0, 305.0, 306.0, 307.0, 366.0, 380.0, 424.0, 440.0, 441.0, 454.0, 482.0, 519.0, 594.0, 788.0]","[255.0, 256.0, 313.0, 354.0, 355.0, 367.0, 662.0, 970.0, 971.0]"
54,"[288.0, 289.0, 306.0, 307.0, 758.0]","[246.0, 265.0, 282.0, 282.0, 289.0, 289.0, 302.0, 306.0, 324.0, 325.0, 326.0, 450.0, 466.0, 480.0, 484.0, 545.0, 563.0, 579.0, 625.0, 658.0]",[]
55,"[246.0, 288.0, 289.0, 306.0, 307.0, 366.0, 776.0, 792.0, 854.0, 933.0, 934.0, 974.0]","[245.0, 246.0, 287.0, 288.0, 289.0, 290.0, 305.0, 306.0, 307.0, 366.0, 380.0, 424.0, 440.0, 441.0, 454.0, 482.0, 788.0, 854.0, 919.0, 933.0]","[255.0, 256.0, 313.0, 354.0, 355.0, 569.0, 662.0, 970.0]"
56,"[306.0, 367.0, 703.0, 713.0, 733.0, 776.0, 792.0, 795.0, 832.0, 833.0, 850.0, 854.0, 855.0, 911.0, 912.0, 933.0, 934.0, 951.0, 974.0, 1624.0, 1703.0, 1704.0]","[306.0, 634.0, 662.0, 691.0, 713.0, 720.0, 788.0, 792.0, 792.0, 834.0, 854.0, 933.0]","[255.0, 256.0, 313.0, 340.0, 354.0, 355.0, 662.0, 970.0]"
57,"[288.0, 289.0, 306.0, 307.0, 324.0, 325.0, 326.0, 367.0, 776.0, 792.0, 795.0, 854.0]","[246.0, 265.0, 282.0, 287.0, 288.0, 289.0, 306.0, 307.0, 324.0, 325.0, 326.0, 366.0, 424.0, 795.0, 872.0]","[255.0, 256.0, 313.0, 354.0, 569.0, 570.0]"
58,"[306.0, 367.0, 545.0, 758.0, 776.0, 788.0, 792.0, 795.0, 854.0, 933.0, 934.0, 951.0, 974.0, 1041.0, 1235.0, 1415.0, 1595.0, 1775.0]","[282.0, 306.0, 453.0, 545.0, 662.0, 691.0, 776.0, 788.0, 789.0, 792.0, 834.0, 854.0, 872.0, 919.0, 933.0, 934.0, 960.0, 974.0, 982.0, 998.0, 1012.0]","[255.0, 256.0, 313.0, 354.0, 371.0, 555.0, 569.0, 570.0]"
59,"[367.0, 776.0, 792.0, 795.0, 832.0, 833.0, 854.0, 911.0, 933.0, 934.0, 974.0]","[662.0, 788.0, 832.0, 854.0, 911.0, 933.0]","[255.0, 256.0, 313.0, 354.0, 369.0, 468.0, 470.0, 500.0, 527.0, 539.0, 558.0, 569.0, 570.0, 733.0]"
60,[],"[301.0, 312.0, 367.0, 453.0, 645.0, 769.0, 851.0, 865.0]",[]
61,"[246.0, 288.0, 289.0, 306.0, 307.0, 366.0, 792.0, 854.0]","[246.0, 287.0, 288.0, 289.0, 306.0, 307.0, 366.0, 380.0, 424.0, 440.0, 441.0, 454.0, 482.0, 662.0]","[255.0, 256.0, 313.0, 354.0, 355.0, 367.0, 408.0, 438.0, 479.0, 563.0, 569.0, 662.0, 970.0]"
62,"[288.0, 289.0, 306.0, 307.0, 324.0, 326.0, 758.0]","[246.0, 282.0, 288.0, 289.0, 289.0, 306.0, 307.0, 324.0, 326.0, 364.0, 380.0, 440.0, 597.0, 662.0, 755.0]","[255.0, 256.0, 313.0, 340.0, 354.0, 355.0, 367.0, 408.0, 438.0, 479.0, 662.0]"
63,"[282.0, 367.0, 367.0, 792.0, 854.0]","[282.0, 282.0, 312.0, 367.0, 453.0, 579.0, 597.0, 658.0, 662.0, 755.0]","[255.0, 256.0, 313.0, 324.0, 354.0, 355.0, 371.0, 569.0]"
64,"[282.0, 289.0, 312.0, 367.0, 453.0, 466.0, 792.0, 795.0, 854.0, 933.0]","[282.0, 312.0, 453.0, 597.0, 662.0, 755.0, 792.0, 854.0]","[255.0, 256.0, 313.0, 354.0, 355.0, 371.0, 373.0, 555.0, 569.0, 570.0]"
65,"[282.0, 289.0, 312.0, 322.0, 367.0, 453.0, 466.0, 545.0, 792.0, 795.0, 854.0, 872.0, 933.0]","[282.0, 312.0, 453.0, 597.0, 662.0, 755.0, 792.0, 854.0]","[255.0, 256.0, 313.0, 354.0, 371.0, 373.0, 569.0, 570.0]"
66,"[282.0, 282.0, 283.0, 289.0, 312.0, 320.0, 322.0, 453.0, 466.0, 503.0, 545.0, 597.0, 634.0, 674.0, 713.0, 755.0, 758.0, 792.0]","[453.0, 597.0, 662.0, 755.0]","[255.0, 256.0, 313.0, 354.0, 371.0, 373.0, 569.0, 570.0, 733.0]"
67,"[282.0, 289.0, 312.0, 322.0, 367.0, 436.0, 437.0, 453.0, 466.0, 503.0, 545.0, 674.0, 758.0, 776.0, 792.0, 854.0, 933.0, 934.0, 974.0, 976.0, 1041.0, 1055.0, 1221.0, 1235.0, 1415.0]","[282.0, 312.0, 442.0, 453.0, 662.0, 788.0, 789.0, 854.0, 919.0, 933.0, 998.0]","[255.0, 256.0, 313.0, 354.0, 371.0, 555.0, 569.0, 570.0]"
68,"[367.0, 758.0, 776.0, 792.0, 854.0, 933.0]","[282.0, 453.0, 662.0, 788.0]","[255.0, 256.0, 313.0, 354.0, 371.0, 555.0, 569.0, 570.0]"
69,"[282.0, 367.0, 436.0, 437.0, 451.0, 453.0, 545.0, 776.0, 792.0, 795.0, 854.0, 933.0, 934.0, 974.0]","[282.0, 453.0, 662.0, 788.0, 854.0, 872.0, 933.0]","[255.0, 256.0, 313.0, 354.0, 371.0, 373.0, 555.0, 569.0, 570.0]"
70,"[282.0, 289.0, 312.0, 322.0, 367.0, 453.0, 466.0, 503.0, 545.0, 674.0, 753.0]","[282.0, 453.0, 597.0, 662.0, 755.0]","[255.0, 256.0, 313.0, 354.0, 355.0, 371.0, 555.0, 569.0, 570.0]"
71,"[367.0, 367.0, 776.0, 792.0, 795.0, 832.0, 854.0, 911.0, 933.0, 1741.0]","[282.0, 453.0, 662.0, 854.0]","[255.0, 256.0, 313.0, 354.0, 398.0, 555.0, 569.0, 570.0]"
72,"[282.0, 367.0, 758.0, 792.0]","[282.0, 312.0, 453.0, 597.0, 662.0, 755.0]","[255.0, 256.0, 313.0, 354.0, 355.0, 371.0, 555.0, 569.0, 570.0]"
73,"[367.0, 776.0, 792.0, 795.0, 832.0, 854.0, 933.0]","[282.0, 453.0, 662.0, 776.0, 792.0, 795.0, 854.0, 872.0]","[255.0, 256.0, 313.0, 354.0, 355.0, 398.0, 555.0, 569.0, 570.0]"
74,"[367.0, 367.0, 758.0, 792.0, 854.0]","[597.0, 755.0, 854.0]","[255.0, 256.0, 313.0, 354.0, 355.0, 371.0, 555.0, 569.0, 570.0]"
75,"[367.0, 436.0, 437.0, 451.0, 758.0, 776.0, 792.0, 854.0, 933.0, 934.0, 974.0]","[442.0, 453.0, 758.0, 788.0, 789.0, 854.0, 919.0, 933.0]","[255.0, 256.0, 313.0, 354.0, 429.0, 447.0, 470.0, 505.0, 569.0, 570.0, 669.0, 733.0, 734.0]"
76,"[282.0, 282.0, 283.0, 288.0, 289.0, 306.0, 307.0, 312.0, 320.0, 322.0, 436.0, 437.0, 451.0, 453.0, 466.0, 503.0, 545.0, 674.0, 776.0, 792.0, 854.0, 933.0, 934.0, 944.0, 974.0]","[288.0, 289.0, 306.0, 307.0, 380.0, 424.0, 440.0, 453.0, 454.0, 482.0, 662.0, 788.0, 919.0, 933.0]","[255.0, 256.0, 313.0, 354.0, 470.0, 569.0, 570.0, 662.0]"
77,"[282.0, 288.0, 289.0, 306.0, 307.0, 312.0, 322.0, 324.0, 326.0, 367.0, 453.0, 466.0, 482.0, 545.0, 776.0, 792.0, 795.0, 854.0, 933.0]","[221.0, 246.0, 288.0, 289.0, 290.0, 306.0, 307.0, 324.0, 364.0, 365.0, 366.0, 380.0, 424.0, 440.0, 662.0, 872.0]","[255.0, 256.0, 313.0, 354.0, 355.0, 408.0, 662.0]"
78,"[755.0, 758.0]","[282.0, 597.0, 755.0, 758.0]","[255.0, 256.0, 313.0, 354.0, 355.0, 371.0, 555.0, 569.0, 570.0]"
79,[],"[282.0, 453.0, 661.0, 662.0, 721.0, 800.0]",[]
80,"[367.0, 367.0, 436.0, 437.0, 451.0, 776.0, 792.0, 795.0, 854.0, 933.0, 934.0, 974.0]","[442.0, 788.0, 854.0, 919.0, 933.0, 934.0, 961.0, 974.0, 992.0, 1012.0]","[255.0, 256.0, 313.0, 354.0, 569.0, 570.0]"
81,"[282.0, 367.0, 436.0, 437.0, 451.0, 453.0, 758.0, 776.0, 788.0, 792.0, 795.0, 854.0, 872.0, 933.0, 934.0, 951.0, 974.0]","[282.0, 312.0, 442.0, 453.0, 545.0, 662.0, 720.0, 788.0, 789.0, 792.0, 795.0, 854.0, 872.0, 919.0, 933.0, 934.0, 974.0]","[255.0, 256.0, 313.0, 354.0, 429.0, 447.0, 470.0, 505.0, 569.0, 669.0, 733.0]"
82,[758.0],"[585.0, 661.0, 662.0, 675.0, 703.0, 721.0, 722.0, 736.0, 753.0, 800.0, 801.0, 814.0]","[255.0, 256.0, 313.0, 354.0, 398.0, 555.0, 569.0, 570.0]"
83,"[484.0, 563.0]","[271.0, 282.0, 282.0, 289.0, 312.0, 375.0, 453.0, 484.0, 563.0]",[]
84,"[367.0, 436.0, 437.0, 758.0, 792.0, 854.0, 933.0, 1041.0]","[662.0, 758.0, 788.0, 854.0, 919.0, 933.0]","[255.0, 256.0, 313.0, 354.0, 429.0, 470.0, 505.0, 569.0, 570.0, 733.0]"
85,"[282.0, 367.0, 453.0, 758.0, 792.0, 795.0, 854.0, 933.0]","[282.0, 453.0, 597.0, 755.0, 795.0]","[255.0, 256.0, 313.0, 354.0, 355.0, 371.0, 569.0, 570.0]"
86,"[776.0, 792.0, 854.0]","[246.0, 247.0, 287.0, 288.0, 289.0, 290.0, 306.0, 307.0, 570.0, 594.0, 595.0, 596.0, 630.0]","[255.0, 256.0, 272.0, 286.0, 313.0, 340.0, 354.0, 355.0, 569.0, 570.0, 662.0, 988.0]"
87,"[265.0, 282.0, 287.0, 288.0, 289.0, 306.0, 312.0, 324.0, 325.0, 326.0, 367.0, 453.0, 466.0, 776.0, 792.0, 795.0, 854.0]","[246.0, 265.0, 282.0, 282.0, 288.0, 289.0, 306.0, 307.0, 324.0, 325.0, 326.0, 380.0, 440.0, 597.0, 662.0, 755.0]","[255.0, 256.0, 313.0, 354.0, 355.0, 662.0]"
88,"[758.0, 933.0, 934.0, 974.0, 1055.0, 1235.0, 1415.0, 1595.0]","[282.0, 662.0, 758.0, 788.0, 933.0]","[255.0, 256.0, 313.0, 354.0, 355.0, 371.0, 555.0, 569.0, 570.0]"
89,"[282.0, 289.0, 312.0, 322.0, 453.0, 466.0, 503.0, 545.0, 674.0, 753.0, 933.0]","[442.0, 453.0, 662.0, 933.0]","[255.0, 256.0, 313.0, 354.0, 371.0, 555.0, 569.0, 570.0]"
90,"[265.0, 282.0, 282.0, 289.0, 289.0, 302.0, 312.0, 320.0, 322.0, 324.0, 325.0, 326.0, 327.0, 367.0, 453.0, 466.0, 503.0, 545.0, 597.0, 674.0, 753.0, 755.0, 792.0, 854.0]","[246.0, 265.0, 282.0, 282.0, 288.0, 289.0, 302.0, 306.0, 307.0, 324.0, 325.0, 326.0, 440.0, 453.0, 597.0, 662.0, 755.0]","[255.0, 256.0, 313.0, 340.0, 354.0, 355.0, 569.0, 662.0, 970.0]"
91,"[282.0, 288.0, 289.0, 306.0, 307.0, 312.0, 440.0, 453.0, 466.0, 545.0, 674.0, 758.0, 792.0, 854.0, 933.0]","[246.0, 288.0, 289.0, 306.0, 307.0, 380.0, 397.0, 440.0, 454.0, 482.0, 758.0, 788.0, 919.0, 933.0]","[255.0, 256.0, 313.0, 354.0, 470.0, 563.0, 569.0, 570.0, 662.0, 733.0]"
92,"[282.0, 288.0, 289.0, 306.0, 307.0, 312.0, 436.0, 437.0, 451.0, 453.0, 454.0, 466.0, 482.0, 545.0, 739.0, 758.0, 776.0, 792.0, 854.0, 933.0, 934.0, 944.0, 974.0]","[288.0, 289.0, 306.0, 307.0, 380.0, 440.0, 454.0, 482.0, 662.0, 788.0, 919.0, 933.0]","[255.0, 256.0, 313.0, 354.0, 470.0, 569.0, 570.0, 662.0]"
93,"[282.0, 453.0, 674.0, 792.0, 795.0, 854.0, 933.0, 934.0, 974.0]","[453.0, 662.0, 788.0, 854.0, 933.0]","[255.0, 256.0, 313.0, 354.0, 555.0, 569.0, 570.0]"
94,"[282.0, 453.0, 758.0]","[597.0, 662.0, 755.0, 758.0, 788.0]","[255.0, 256.0, 313.0, 354.0, 355.0, 371.0, 569.0, 570.0]"
95,"[282.0, 288.0, 289.0, 306.0, 307.0, 312.0, 315.0, 453.0, 720.0, 776.0, 792.0, 854.0, 861.0, 933.0]","[245.0, 246.0, 287.0, 288.0, 289.0, 290.0, 305.0, 306.0, 307.0, 364.0, 366.0, 380.0, 424.0, 440.0, 441.0]","[255.0, 256.0, 313.0, 340.0, 354.0, 355.0, 408.0, 479.0, 569.0, 662.0, 970.0, 988.0]"
96,[],"[854.0, 933.0, 934.0, 974.0]","[255.0, 256.0, 313.0, 354.0, 371.0, 373.0, 569.0]"
97,[],"[854.0, 933.0]","[255.0, 256.0, 312.0, 313.0, 354.0, 370.0, 371.0, 373.0, 569.0]"
98,"[367.0, 367.0, 795.0]",[870.0],"[255.0, 256.0, 313.0, 354.0, 371.0, 373.0, 429.0, 505.0, 733.0]"
99,"[367.0, 795.0]",[],"[255.0, 256.0, 313.0, 354.0, 371.0, 373.0, 569.0, 570.0, 733.0]"
100,[854.0],"[814.0, 933.0]","[255.0, 256.0, 313.0, 354.0, 371.0, 429.0, 461.0, 505.0, 569.0, 733.0, 734.0]"
101,[854.0],[933.0],"[255.0, 256.0, 313.0, 354.0, 371.0, 373.0, 569.0]"
102,[],"[854.0, 933.0, 934.0, 974.0]","[255.0, 256.0, 313.0, 354.0, 371.0, 373.0, 429.0, 461.0, 505.0, 569.0, 570.0, 733.0]"
103,"[795.0, 854.0]","[795.0, 854.0, 933.0, 934.0, 974.0]","[255.0, 256.0, 313.0, 354.0, 371.0, 373.0, 429.0, 461.0, 569.0, 570.0, 733.0]"
104,[854.0],"[362.0, 854.0, 914.0, 933.0]",[]
105,[],"[933.0, 934.0, 974.0]","[255.0, 256.0, 313.0, 354.0, 371.0, 373.0, 429.0, 461.0, 505.0, 569.0, 733.0]"
106,[367.0],[],"[255.0, 256.0, 313.0, 354.0, 371.0, 373.0, 569.0, 570.0]"
107,[785.0],[],"[255.0, 256.0, 313.0, 354.0, 371.0, 429.0, 447.0, 461.0, 505.0, 569.0, 669.0, 733.0, 734.0]"
