NAME,Co3O(OH),Co3O,Co4O4,T1,rT1,T2,rT2,V_TOT,strategy
TYPE,DATA,DATA,DATA,DATA,DATA,DATA,DATA,DATA,METADATA
0,0.33420686010588996,0.6025878860222684,0.6937203226193062,MeOH,0.3538921937035937,SA,0.44454469035617594,6.709775938084274,Random
1,0.8922151718782981,0.5830905810681951,0.376296928688989,Yb,0.3566145831860407,OA,0.47977717388593144,5.391140231054511,Random
2,0.35761565562118214,0.9041396881603615,0.16007425039717316,Dy,0.24270146824661143,OA,0.4097116327089731,5.724799440113111,Random
3,0.6983208656979081,0.6256293279115926,0.35557464918878146,Ce,0.10396580710378639,MeOH,0.3970061309095608,4.0793204997864505,Random
4,0.4013764969302793,0.16815528333368945,0.32870937789640364,Yb,0.3638241670048595,SA,0.4704712581488895,6.217295272337119,Random
5,0.5938430969541841,0.3510612874321555,0.10573687278682387,Yb,0.4673095073793721,TMTACN,0.38116553847827295,4.984861970311078,Random
6,0.21216816951279416,0.9933868412736554,0.008572766857688263,Ce,0.3021509514608862,MeOH,0.15821415365226776,4.833788792975543,Random
7,0.21863226098947908,0.46542480241092365,0.44351144283734123,Yb,0.2783913937706081,SA,0.48982083967906176,4.789052065339163,Random
8,0.4837534195862212,0.3182390004212231,0.18550017385718276,MeOH,0.33164459518325434,OA,0.05207753490919598,4.716405198707066,Random
9,0.7478180509416923,0.9696931595693177,0.7379280712065627,Dy,0.1730311610256468,MeOH,0.023844553723482154,4.297370052111285,Random
10,0.9600300299911115,0.29808230786031353,0.25919878214535286,Ce,0.16367347145133104,MeOH,0.2721944742299217,7.191598306990673,Random
11,0.9519082335810425,0.8260289194256283,0.4321534223507396,Ce,0.34136490890001925,TMTACN,0.3974047824056251,4.187788591050598,Random
12,0.8668415936206598,0.3910103967721221,0.6130567378744732,Dy,0.18953117017441212,MeOH,0.14752640610745898,5.638435580543735,Random
13,0.3163744658659913,0.4250532925598147,0.5703240990379357,Dy,0.2549479865563669,SA,0.3334150897936544,3.968225487234952,Random
14,0.7336054242635086,0.5413751676661408,0.3263075930370719,MeOH,0.11768288752855355,MeOH,0.49141980131795543,6.364723368940032,Random
15,0.2311982963723047,0.34589700157852266,0.23884666522810127,MeOH,0.4790417475205974,TMTACN,0.3449609576370756,6.489816020375393,Random
16,0.7358606778432814,0.6445612759142401,0.9985049725965122,Ce,0.01779376757322615,TMTACN,0.18489241644702326,4.610003316907289,Random
17,0.5394672439598389,0.8538113259796236,0.2359095955116587,MeOH,0.4669304025713893,OA,0.16063192525756365,7.087133190994377,Random
18,0.8901292984908147,0.07335277363840031,0.29704505329243736,MeOH,0.1919108075604824,OA,0.4908787154828379,5.785893073083075,Random
19,0.2446423699478043,0.2547646275349299,0.6698864055527767,Yb,0.15451837575216126,SA,0.4350538242856371,4.861747471185577,Random
